player,matches_played,balls_faced,total_runs,highest_score,batting_average,strike_rate,centuries,half_centuries,fours,sixes,dismissals,balls_bowled,runs_conceded,wickets,economy,bowling_average,bowling_strike_rate,seasons_played,first_season,last_season,career_span
NA Saini,0,0,0,0,,,0,0,0,0,0,15,35,0,14.0,,,0,,,
NB Singh,0,0,0,0,,,0,0,0,0,0,25,18,1,4.32,18.0,25.0,0,,,
O Thomas,0,0,0,0,,,0,0,0,0,0,63,85,5,8.1,17.0,12.6,0,,,
P Amarnath,0,0,0,0,,,0,0,0,0,0,132,241,7,10.95,34.43,18.86,0,,,
P Prasanth,0,0,0,0,,,0,0,0,0,0,6,18,0,18.0,,,0,,,
P Suyal,0,0,0,0,,,0,0,0,0,0,107,154,2,8.64,77.0,53.5,0,,,
PH Solanki,0,0,0,0,,,0,0,0,0,0,36,39,2,6.5,19.5,18.0,0,,,
R Goyal,0,0,0,0,,,0,0,0,0,0,24,34,0,8.5,,,0,,,
RA Shaikh,0,0,0,0,,,0,0,0,0,0,6,11,0,11.0,,,0,,,
RR Bose,0,0,0,0,,,0,0,0,0,0,12,24,0,12.0,,,0,,,
RS Hangargekar,0,0,0,0,,,0,0,0,0,0,43,60,3,8.37,20.0,14.33,0,,,
RW Price,0,0,0,0,,,0,0,0,0,0,18,33,0,11.0,,,0,,,
S Joseph,0,0,0,0,,,0,0,0,0,0,30,51,0,10.2,,,0,,,
S Midhun,0,0,0,0,,,0,0,0,0,0,13,29,0,13.38,,,0,,,
S Sandeep Warrier,0,0,0,0,,,0,0,0,0,0,176,257,8,8.76,32.12,22.0,0,,,
SC Kuggeleijn,0,0,0,0,,,0,0,0,0,0,50,71,2,8.52,35.5,25.0,0,,,
